rt,response,trial_type,trial_index,time_elapsed,internal_node_id,condition,correct,stimulus,success,timeout,failed_images,failed_audio,failed_video,question_order,accuracy,participant_id,ctime
14597,"{""Q0"":""Mary""}",survey-text,0,14608,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-nai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7790d16d-1c36-4e7e-84f4-12073e5feb61,2025-11-16 11:56:30 CET
2118,0,html-button-response,1,16727,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-nai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,7790d16d-1c36-4e7e-84f4-12073e5feb61,2025-11-16 11:56:30 CET
NA,NA,preload,2,17697,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-nai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,7790d16d-1c36-4e7e-84f4-12073e5feb61,2025-11-16 11:56:30 CET
9526,0,html-button-response,3,27224,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-nai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,7790d16d-1c36-4e7e-84f4-12073e5feb61,2025-11-16 11:56:30 CET
57321.30000001192,"{""stimFIRST"":100,""stimSECOND"":100}",multiple-slider,4,84547,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-nai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,7790d16d-1c36-4e7e-84f4-12073e5feb61,2025-11-16 11:56:30 CET
78489,"{""P0_Q0"":null,""age"":""43"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""I am curious of the results of this study. English being a fickle language; I suspect interpretation of the first question to be mixed, at best, with both responses \""correct.\""""}",survey,5,163092,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-nai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],7790d16d-1c36-4e7e-84f4-12073e5feb61,2025-11-16 11:56:30 CET
19335,"{""Q0"":""""}",survey-text,0,19350,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
6828,0,html-button-response,1,26180,0.0-0.0-1.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",NA,<p style='text-align:left'><b> Incorrect response! Please try again. </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
41116,"{""Q0"":""Patricia""}",survey-text,2,67298,0.0-0.0-1.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
3735,0,html-button-response,3,71034,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
