interrogative,qudBias,prior,PRE,notPOST,prob
did-cole-stop?,PRE,higher,0,0,0.08510422908726221
did-cole-stop?,PRE,higher,1,0,0.17343275878596837
did-cole-stop?,PRE,higher,0,1,0.24607957050510856
did-cole-stop?,PRE,higher,1,1,0.495383441621661
did-cole-stop?,PRE,lower,0,0,0.17244875306103874
did-cole-stop?,PRE,lower,1,0,0.08782493161814978
did-cole-stop?,PRE,lower,0,1,0.492083840155454
did-cole-stop?,PRE,lower,1,1,0.2476424751653574
did-cole-stop?,notPOST,higher,0,0,0.07535788018195697
did-cole-stop?,notPOST,higher,1,0,0.4226059749884322
did-cole-stop?,notPOST,higher,0,1,0.07671531006836423
did-cole-stop?,notPOST,higher,1,1,0.42532083476124666
did-cole-stop?,notPOST,lower,0,0,0.2011184399044958
did-cole-stop?,notPOST,lower,1,0,0.29595498129432174
did-cole-stop?,notPOST,lower,0,1,0.2050205449727392
did-cole-stop?,notPOST,lower,1,1,0.2979060338284434
did-cole-pre?,PRE,higher,0,0,0.16666774206789026
did-cole-pre?,PRE,higher,1,0,0.3333354840936795
did-cole-pre?,PRE,higher,0,1,0.1666655912935105
did-cole-pre?,PRE,higher,1,1,0.3333311825449198
did-cole-pre?,PRE,lower,0,0,0.33333548412205866
did-cole-pre?,PRE,lower,1,0,0.16666774203997875
did-cole-pre?,PRE,lower,0,1,0.3333311825726753
did-cole-pre?,PRE,lower,1,1,0.16666559126528713
did-cole-pre?,notPOST,higher,0,0,0.16666674577301735
did-cole-pre?,notPOST,higher,1,0,0.3333334641511182
did-cole-pre?,notPOST,higher,0,1,0.1666666058235937
did-cole-pre?,notPOST,higher,1,1,0.3333331842522708
did-cole-pre?,notPOST,lower,0,0,0.3333334824143926
did-cole-pre?,notPOST,lower,1,0,0.1666667275097384
did-cole-pre?,notPOST,lower,0,1,0.3333332025155512
did-cole-pre?,notPOST,lower,1,1,0.16666658756031766
does-cole-notPost?,PRE,higher,0,0,0.16666677177449102
does-cole-notPost?,PRE,higher,1,0,0.3333332641925861
does-cole-notPost?,PRE,higher,0,1,0.16666674779643956
does-cole-notPost?,PRE,higher,1,1,0.3333332162364834
does-cole-notPost?,PRE,lower,0,0,0.33333345043014695
does-cole-notPost?,PRE,lower,1,0,0.16666658553691907
does-cole-notPost?,PRE,lower,0,1,0.333333402474059
does-cole-notPost?,PRE,lower,1,1,0.16666656155887508
does-cole-notPost?,notPOST,higher,0,0,0.16666810281809477
does-cole-notPost?,notPOST,higher,1,0,0.3333318972373758
does-cole-notPost?,notPOST,higher,0,1,0.1666681027811144
does-cole-notPost?,notPOST,higher,1,1,0.3333318971634151
does-cole-notPost?,notPOST,lower,0,0,0.3333347694963254
does-cole-notPost?,notPOST,lower,1,0,0.16666523055914495
does-cole-notPost?,notPOST,lower,0,1,0.3333347694223649
does-cole-notPost?,notPOST,lower,1,1,0.1666652305221647
